Write Buffer Size,ops_per_sec,micros_per_op
360710144,9615,64.0
361758720,4694,142.0
362807296,2801,188.0
363855872,7299,86.0
364904448,4901,132.0
365953024,7299,81.0
367001600,8849,61.0
368050176,9345,63.0
369098752,7092,61.0
370147328,10309,59.0
371195904,7751,78.0
372244480,7874,85.0
373293056,9523,66.0
374341632,9523,63.0
375390208,7092,83.0
376438784,7352,84.0
377487360,3703,151.0
378535936,6849,90.0
379584512,8928,68.0
380633088,7194,88.0
381681664,8849,66.0
382730240,7246,86.0
383778816,6172,109.0
384827392,3623,176.0
385875968,6369,92.0
386924544,5780,85.0
387973120,6711,96.0
389021696,5882,82.0
390070272,7092,82.0
391118848,6134,71.0
392167424,5405,119.0
393216000,5847,79.0
394264576,8130,71.0
395313152,8849,65.0
396361728,5555,128.0
397410304,7692,77.0
398458880,6369,95.0
399507456,6622,80.0
400556032,8849,67.0
401604608,4255,161.0
402653184,3584,164.0
403701760,3703,177.0
404750336,7352,92.0
405798912,9615,60.0
406847488,9615,63.0
407896064,9174,64.0
408944640,8264,73.0
409993216,9803,61.0
411041792,6211,109.0
412090368,8849,69.0
413138944,10309,58.0
414187520,10309,56.0
415236096,10638,58.0
416284672,7407,76.0
417333248,4629,135.0
418381824,8264,66.0
419430400,5405,145.0
420478976,4065,155.0
421527552,5494,140.0
422576128,8333,69.0
423624704,5649,80.0
424673280,5780,130.0
425721856,3184,222.0
426770432,4464,126.0
427819008,8695,67.0
428867584,6211,106.0
429916160,6802,64.0
430964736,8130,75.0
432013312,8064,73.0
433061888,4424,134.0
434110464,6622,67.0
435159040,6622,64.0
436207616,4926,138.0
437256192,6097,73.0
438304768,6666,67.0
439353344,5347,121.0
440401920,3367,195.0
441450496,6097,71.0
442499072,8130,74.0
443547648,5917,77.0
444596224,5780,81.0
445644800,6211,69.0
446693376,8264,71.0
447741952,6172,73.0
448790528,8474,68.0
449839104,5376,88.0
450887680,5128,100.0
451936256,9174,67.0
452984832,9708,59.0
454033408,5347,133.0
455081984,9345,65.0
456130560,7575,85.0
457179136,5263,117.0
458227712,6451,68.0
459276288,3267,177.0
460324864,6849,97.0
461373440,4854,80.0
462422016,6211,73.0
463470592,5649,115.0
464519168,5524,86.0
465567744,6172,90.0
466616320,5617,123.0
467664896,6756,90.0
468713472,6250,71.0
469762048,8403,71.0
470810624,6134,74.0
471859200,4545,116.0
472907776,8403,71.0
473956352,6896,91.0
475004928,9345,62.0
476053504,6493,67.0
477102080,7246,90.0
478150656,6711,67.0
479199232,9433,64.0
480247808,6578,67.0
481296384,4385,178.0
482344960,8928,65.0
483393536,8474,70.0
484442112,8064,73.0
485490688,7352,88.0
