Write Buffer Size,ops_per_sec,micros_per_op
335544320,1977828,0.506
336592896,2360968,0.423
337641472,1672847,0.598
338690048,1845209,0.542
339738624,1918332,0.521
340787200,2054358,0.487
341835776,1991543,0.502
342884352,1814440,0.551
343932928,2109584,0.474
344981504,2220682,0.45
346030080,1927094,0.519
347078656,2186193,0.457
348127232,1727267,0.579
349175808,2023353,0.494
350224384,1884328,0.531
351272960,2127406,0.47
352321536,2198580,0.455
353370112,2119708,0.472
354418688,1810370,0.552
355467264,1812763,0.552
356515840,1878138,0.532
357564416,1872946,0.534
358612992,1648106,0.607
359661568,1813677,0.551
360710144,1752759,0.57
361758720,1579753,0.633
362807296,1783055,0.561
363855872,1393446,0.718
364904448,1601022,0.625
365953024,1788793,0.559
367001600,2029397,0.493
368050176,1862239,0.537
369098752,2137679,0.468
370147328,2068179,0.483
371195904,2366707,0.422
372244480,1888863,0.529
373293056,2053687,0.487
374341632,2070689,0.483
375390208,2273233,0.44
376438784,2189276,0.457
377487360,2158014,0.463
378535936,2085679,0.479
379584512,2388196,0.419
380633088,2037859,0.491
381681664,1883501,0.531
382730240,2078293,0.481
383778816,2086767,0.479
384827392,1750589,0.571
385875968,2015239,0.496
386924544,2168266,0.461
387973120,2011627,0.497
389021696,1834175,0.545
390070272,2043769,0.489
391118848,2079321,0.481
392167424,1679994,0.595
393216000,2189817,0.457
394264576,1966626,0.508
395313152,2062098,0.485
396361728,1933480,0.517
397410304,2024734,0.494
398458880,1992647,0.502
399507456,2020945,0.495
400556032,1822379,0.549
401604608,2373008,0.421
402653184,2346008,0.426
403701760,1970804,0.507
404750336,1770303,0.565
405798912,1981838,0.504
406847488,2081018,0.48
407896064,1873223,0.534
408944640,2292678,0.436
409993216,2366040,0.423
411041792,2029570,0.493
412090368,1786850,0.56
413138944,2230733,0.448
414187520,2314530,0.432
415236096,2006573,0.498
416284672,2058417,0.486
417333248,1698274,0.589
418381824,1857648,0.538
419430400,1707326,0.586
420478976,1861878,0.537
421527552,1718549,0.582
422576128,1668819,0.599
423624704,1692600,0.591
424673280,2059957,0.485
425721856,2123611,0.471
426770432,1954266,0.512
427819008,2183878,0.458
428867584,1979433,0.505
429916160,2058621,0.486
430964736,1860226,0.537
432013312,1811551,0.552
433061888,2316530,0.432
434110464,1959351,0.51
435159040,1814134,0.551
436207616,2195698,0.455
437256192,2431605,0.411
438304768,2123115,0.471
439353344,2033752,0.492
440401920,2084644,0.48
441450496,2009824,0.497
442499072,1889162,0.529
443547648,2003807,0.499
444596224,2298496,0.435
445644800,2068855,0.483
446693376,1953663,0.512
447741952,1853358,0.539
448790528,2111874,0.473
449839104,2158507,0.463
450887680,1840004,0.543
451936256,2123088,0.471
452984832,1976265,0.506
454033408,2008669,0.498
455081984,1820174,0.549
456130560,2275830,0.439
457179136,2135041,0.468
458227712,1768709,0.565
459276288,1800332,0.555
460324864,2277027,0.439
461373440,2403944,0.416
462422016,2142203,0.467
463470592,1878368,0.532
464519168,2137537,0.468
465567744,2489624,0.402
466616320,1940462,0.515
467664896,1858981,0.538
468713472,2172019,0.46
469762048,2418520,0.413
470810624,1843691,0.542
471859200,2153302,0.464
472907776,2363172,0.423
473956352,2148841,0.465
475004928,1904217,0.525
476053504,2100906,0.476
477102080,2254054,0.444
478150656,2175109,0.46
479199232,1924861,0.519
480247808,2036261,0.491
481296384,2327237,0.43
482344960,1878805,0.532
483393536,1827672,0.547
484442112,2350656,0.425
485490688,2131364,0.469
486539264,2045613,0.489
487587840,1893688,0.528
488636416,1913403,0.523
489684992,1798247,0.556
490733568,1814019,0.551
491782144,2005909,0.498
492830720,1793696,0.557
493879296,1941555,0.515
494927872,1889712,0.529
495976448,1990449,0.502
497025024,1793499,0.557
498073600,1796715,0.556
499122176,1569755,0.637
500170752,1708006,0.585
501219328,1629423,0.614
502267904,1848012,0.541
503316480,1476080,0.677
504365056,1693184,0.591
505413632,1849406,0.541
506462208,1979935,0.505
507510784,1769341,0.565
508559360,1972312,0.507
509607936,1690725,0.591
510656512,1740934,0.574
511705088,1797862,0.556
512753664,1790587,0.558
513802240,1835205,0.545
514850816,1959332,0.51
515899392,1839388,0.544
516947968,1828370,0.547
517996544,1830613,0.546
519045120,1812589,0.552
520093696,2100452,0.476
521142272,1801048,0.555
522190848,1894915,0.528
523239424,1830509,0.546
524288000,1998061,0.5
525336576,1706557,0.586
526385152,1819395,0.55
527433728,1904087,0.525
528482304,1881556,0.531
529530880,2082309,0.48
530579456,1834152,0.545
531628032,2007504,0.498
532676608,1801636,0.555
533725184,1898441,0.527
534773760,1871530,0.534
535822336,1983261,0.504
536870912,1901903,0.526
537919488,1822688,0.549
538968064,1894226,0.528
540016640,1989986,0.502
541065216,1903739,0.525
542113792,1838505,0.544
543162368,1897853,0.527
544210944,1805878,0.554
545259520,1774692,0.563
546308096,1804669,0.554
547356672,1830576,0.546
548405248,1722376,0.581
549453824,1723139,0.58
550502400,1862693,0.537
551550976,1896885,0.527
552599552,2100716,0.476
553648128,2100196,0.476
554696704,1845321,0.542
555745280,1880208,0.532
556793856,1983965,0.504
557842432,2009569,0.498
558891008,1855731,0.539
