max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,max_bytes_for_level_multiplier,block_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,target_file_size_multiplier,target_file_size_base,ops_per_sec,micros_per_op8,1,319570016,5,4,11,53894,11,2,28,7,132162198,24837,40.261
8,6,629990516,5,1,16,111980,12,4,29,4,76000502,20183,49.545
7,8,442801465,3,1,8,67111,2,17,5,8,133572903,22016,45.419
1,5,269602333,5,3,10,98776,14,23,32,5,45157117,20512,48.751
5,2,968487626,4,2,3,14455,10,6,30,6,51000616,23259,42.993
6,7,1051927066,2,4,5,38727,9,21,24,7,111724463,27050,36.967
3,1,770500263,3,2,11,109035,13,27,8,4,39651028,26964,37.085
3,5,111741587,2,5,13,43523,11,6,12,3,64790580,26056,38.378
3,6,377574853,8,4,8,10107,6,17,31,2,41988667,27395,36.501
7,3,1047365067,2,5,14,44517,6,32,12,1,98402739,32742,30.54
7,3,923414728,5,5,11,81650,14,4,4,8,35534672,32291,30.967
3,2,963315931,7,4,2,13397,10,12,11,4,38257815,28036,35.667
1,3,299292476,7,1,8,82163,14,10,10,8,48373593,25932,38.561
4,6,952348726,4,5,13,61237,9,25,16,5,47277866,21288,46.973
1,4,940761076,3,4,5,54058,6,28,2,2,71868133,28380,35.234
1,2,399919743,4,3,8,100573,6,22,6,1,95356476,28109,35.574
6,6,8519935,3,5,7,125158,7,18,8,1,73591897,28461,35.134
8,2,371304986,4,5,8,40978,12,8,32,8,109703939,23534,42.49
5,5,424248519,4,3,7,87308,7,19,30,1,130419912,32802,30.485
3,3,374584934,4,4,8,37479,5,3,31,1,53343901,33270,30.056
2,6,206019069,5,4,8,106603,16,32,16,1,74622962,24593,40.661
5,3,312470885,4,1,16,111290,14,20,32,5,36991628,27138,36.847
4,7,934721788,6,1,4,81315,5,8,21,4,127585924,28136,35.54
8,7,417897356,3,3,12,94525,14,7,32,3,72097063,32220,31.035
4,8,668883792,6,2,9,85976,9,18,32,7,41594637,23229,43.048
7,7,774308816,2,4,11,99518,7,20,32,7,42790070,30075,33.249
8,8,426392568,7,2,15,125444,13,11,14,2,125487609,32705,30.575
3,5,846498306,5,4,5,24475,9,20,27,1,75626904,26602,37.59
8,1,831864366,2,5,6,91293,7,9,19,7,68872678,28775,34.751
4,7,157425136,4,5,3,96741,10,24,8,4,133913517,28587,34.98
1,6,978798639,8,4,10,62765,12,4,30,7,123844352,32269,30.988
8,8,707093929,4,4,12,93267,12,25,17,6,47649628,21485,46.541
6,4,624724172,2,4,16,50062,13,32,28,2,127881850,27683,36.122
8,4,607301949,7,3,4,36042,11,3,29,6,47528357,32280,30.977
5,7,371880355,8,2,7,65158,3,25,9,1,116695800,30756,32.513
6,3,291579488,3,4,8,47729,13,13,27,1,57142580,25530,39.168
1,4,710023385,6,4,10,122336,2,18,18,2,45014380,29101,34.362
8,4,776649422,2,2,8,100926,8,6,11,1,77844320,32920,30.375
3,7,347857492,6,4,10,44123,7,7,12,2,109318102,30235,33.072
