max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,max_bytes_for_level_multiplier,block_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,target_file_size_multiplier,target_file_size_base,ops_per_sec,micros_per_op
6,3,926359419,4,5,5,43151,12,5,2,3,55286453,55437,18.038
6,6,59130613,7,5,8,32881,11,24,30,7,55622317,58320,17.146
6,2,23856007,8,4,12,87770,16,15,29,6,35675837,46999,21.276
8,2,894623037,3,5,3,112691,9,3,9,6,107919682,38916,25.695
1,2,112986107,5,3,7,68855,16,5,5,3,73909413,58949,16.963
3,5,949921580,7,5,3,45445,15,27,19,7,55351176,35331,28.303
4,5,931227066,8,2,12,35003,6,23,6,4,111356082,47715,20.957
1,4,608329460,5,1,2,30859,7,9,24,3,36324247,40737,24.547
3,6,453553977,5,2,5,38847,4,6,31,4,106159358,38980,25.653
7,4,104977721,8,3,14,31605,5,28,2,8,44408627,41941,23.842
6,3,183678844,7,1,16,86759,7,28,12,5,66735959,31806,31.439
3,5,128304368,3,3,4,50785,16,32,32,3,88248295,53809,18.583
7,5,978503408,8,2,2,99070,13,8,3,6,61635254,35751,27.97
5,8,620608271,7,2,16,121979,2,14,5,7,56673974,47707,20.96
2,8,689539528,8,5,7,71998,14,29,31,2,133995486,48038,20.816
5,2,521875151,3,5,11,91952,4,15,26,3,54257671,62894,15.899
3,7,846531041,7,4,8,16200,6,11,27,5,110708454,41332,24.193
7,5,1037032295,5,3,9,56450,3,10,10,3,97218428,48114,20.783
3,1,598007013,8,2,4,98797,3,2,8,5,60053732,51920,19.26
1,6,685159049,5,5,5,4976,11,24,24,5,90958924,62159,16.087
6,4,677701689,6,3,3,66961,3,28,22,5,72114540,66059,15.137
8,8,54441436,6,5,5,43504,12,15,17,2,80747704,61663,16.217
5,7,55479425,8,3,10,23063,15,3,18,7,122632080,65490,15.269
1,8,287125779,3,1,8,86341,14,21,31,1,73567353,67179,14.885
7,3,625085585,7,4,3,89093,15,25,6,2,57061734,50690,19.727
8,2,474749784,8,1,13,110919,5,6,3,4,74042284,53873,18.562
3,4,499819190,2,5,5,76119,3,13,8,1,45174670,28230,35.422
7,3,540228489,5,1,5,55370,5,27,5,1,129330968,35384,28.26
5,7,898163297,7,4,4,78518,10,14,25,7,69362079,38203,26.175
5,1,725128411,2,2,6,55982,16,14,9,2,100025386,29604,33.777
4,2,725840083,8,2,4,49486,6,19,22,3,77567323,42103,23.75
7,6,690993896,5,3,5,103457,6,31,24,7,94829561,29434,33.973
8,5,86332536,5,4,9,116550,6,25,4,6,117538883,27956,35.769
3,5,50062370,4,5,4,113069,11,19,25,6,54128367,30760,32.509
3,7,475080078,3,3,5,19714,10,5,2,6,45612513,61260,16.323
2,4,382581931,7,4,8,130017,15,11,26,5,54188097,56018,17.851
1,5,719163548,6,2,15,114036,4,7,29,1,86755741,58944,16.964
3,2,585127252,8,1,8,43444,8,12,23,1,107936341,50538,19.786
4,6,664713223,8,3,8,104751,10,6,10,8,102265978,46330,21.583
5,6,190938056,4,1,2,89123,2,11,12,7,120221886,34329,29.128
5,3,628356896,7,4,6,31224,5,32,19,1,66631249,37294,26.813
8,7,859976906,2,4,8,81086,13,22,6,4,68024458,37310,26.802
4,8,204388415,5,3,3,96177,6,12,24,3,90045958,31201,32.048
6,5,662486171,3,5,3,15904,8,24,26,7,66098833,50808,19.681
8,5,102154514,2,4,5,47325,11,13,12,1,115930271,40564,24.651
6,2,341836896,6,5,7,7494,11,13,10,7,51664519,42199,23.696
1,3,167610430,8,1,13,74912,8,19,20,1,75482576,43015,23.246
1,5,368888066,3,1,3,26906,9,4,29,1,107644577,36903,27.097
5,2,410159240,2,3,11,36315,6,31,15,4,122444082,28219,35.437
