max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,max_bytes_for_level_multiplier,block_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,target_file_size_multiplier,target_file_size_base,ops_per_sec,micros_per_op
2,6,1001459650,8,5,2,56421,16,13,32,1,104616231,1594474,0.627
8,7,533663112,2,1,11,123915,10,14,24,3,84201116,1743138,0.574
4,6,1032291077,8,2,8,82109,8,9,13,5,107025619,1488338,0.672
4,7,947606984,5,1,5,90013,10,10,31,3,40920307,1040159,0.961
6,5,647795740,4,2,7,48396,8,26,2,7,130785147,1508882,0.663
7,1,729408008,8,3,2,27579,7,19,26,4,111389093,1317097,0.759
7,5,620017818,6,4,7,12192,5,12,32,6,70121271,1047664,0.954
2,1,303566601,3,5,2,123462,14,8,27,4,59335844,1396230,0.716
4,8,892455537,2,5,11,33872,5,32,31,6,79062520,1541801,0.649
3,3,230780083,7,5,13,47540,14,30,16,2,94995144,1934228,0.517
2,8,89200964,3,1,8,100898,11,5,27,4,92628464,1384502,0.722
6,1,317356324,2,2,2,19914,3,4,16,8,43536008,1168468,0.856
8,4,797221457,8,3,15,50582,11,25,17,4,77693641,1761984,0.567
7,8,152023374,2,1,11,28044,13,4,26,2,37486845,1705628,0.586
4,5,197676550,3,4,14,35077,15,8,4,6,77836177,1208868,0.827
5,4,1062366052,6,4,8,125197,4,31,14,4,119943547,1615140,0.619
4,4,106301035,4,5,2,6896,14,2,14,7,66560646,1834347,0.545
4,5,142160761,2,3,8,104694,3,6,6,4,131876032,1377034,0.726
7,1,1034687436,8,3,5,53144,3,25,27,2,117896364,1742224,0.574
4,1,220266483,4,4,10,49413,10,11,8,5,108779105,1608099,0.622
7,3,876933223,2,2,14,127168,5,2,18,2,94341676,1560753,0.641
8,4,753289900,2,4,8,63284,2,29,6,1,50051428,1553644,0.644
1,7,785358259,8,5,5,14050,14,21,28,5,81739970,1067571,0.937
5,6,992170260,7,4,12,9476,14,26,16,4,56278627,1894599,0.528
8,8,545199037,7,3,8,103224,9,19,32,7,39783428,2001909,0.499
4,2,264828700,4,2,5,115598,4,15,13,8,45924454,1667375,0.6
5,2,853333594,3,1,16,122639,13,4,8,7,108560659,1715819,0.583
1,7,1035577139,8,5,10,60772,11,20,18,3,116487965,1876306,0.533
4,8,648021735,6,5,9,35316,7,20,19,8,103771285,1850107,0.54
5,4,1070255933,3,3,3,37647,6,15,13,5,38042158,1762561,0.567
2,5,34805472,2,5,15,42611,10,10,14,5,107752153,1924416,0.52
8,5,229399277,3,2,15,122390,14,21,22,2,58593806,1420396,0.704
1,2,111468329,5,2,2,7998,13,15,26,5,75097347,1697075,0.589
3,5,155968653,2,3,4,75287,3,29,10,7,71499857,1856903,0.538
4,8,832372879,6,3,16,65341,15,12,15,8,97910790,1666827,0.6
3,2,165503614,5,3,13,77556,10,20,16,1,52572922,1676069,0.597
6,2,802643740,4,3,8,101745,4,14,14,2,65238708,1769163,0.565
3,6,551644797,8,1,3,9158,6,13,15,8,67381206,1776180,0.563
7,8,1031651652,2,3,15,72435,9,16,15,2,123240190,1634189,0.612
4,2,638375622,3,5,8,18172,2,7,4,5,81483425,2062506,0.485
2,4,669972555,5,1,10,39709,15,5,8,2,83634868,1634203,0.612
1,7,609662641,5,5,11,51574,9,21,6,5,70667483,1596204,0.626
8,6,991300616,3,2,7,42917,11,7,14,3,104036773,1734527,0.576
3,7,719850925,4,3,9,79879,3,17,30,1,82443182,1886660,0.53
6,2,78088569,7,2,2,73860,12,17,19,4,48685524,1700347,0.588
8,1,617984621,2,4,5,54268,13,24,32,4,88719883,1938953,0.516
2,4,171494749,3,1,2,107685,5,11,32,7,60095389,1441902,0.693
3,1,698958287,5,1,14,9007,11,20,28,5,68837732,1703754,0.587
3,6,210227710,3,5,7,78339,14,6,16,3,89196438,1605043,0.623
7,6,811261386,2,5,3,12931,12,32,22,2,64472347,1841919,0.543
4,6,1047492077,3,5,13,94650,13,6,16,2,71892401,1541751,0.649
6,4,917072971,2,5,9,129429,3,19,12,5,49912105,1151602,0.868
3,2,971753797,5,1,15,51277,2,27,16,4,75291097,1620640,0.617
