Block Size,ops_per_sec,micros_per_op
65896,12195,49.0
66100,12195,48.0
66304,13513,44.0
66508,8547,48.0
66712,12500,47.0
66916,12195,46.0
67120,12345,48.0
67324,12820,47.0
67528,10526,55.0
67732,6134,76.0
67936,6211,123.0
68140,9803,60.0
68344,6410,78.0
68548,12048,50.0
68752,11494,53.0
68956,11764,52.0
69160,12500,48.0
69364,11494,50.0
69568,12345,49.0
69772,12195,49.0
69976,12048,49.0
70180,12195,49.0
70384,8064,54.0
70588,10752,54.0
70792,10526,60.0
70996,9803,67.0
71200,7142,61.0
71404,9433,67.0
71608,7751,86.0
71812,8333,77.0
72016,5649,117.0
72220,8130,78.0
72424,6369,101.0
72628,9090,68.0
72832,7142,84.0
73036,8064,75.0
73240,6622,70.0
73444,5208,127.0
73648,6802,79.0
73852,8333,74.0
74056,7874,84.0
74260,6097,103.0
74464,9009,68.0
74668,7936,72.0
74872,7352,83.0
75076,8403,73.0
75280,8620,72.0
75484,2915,206.0
75688,8771,68.0
75892,5405,132.0
76096,5555,86.0
76300,4878,108.0
76504,3412,174.0
76708,8000,76.0
76912,4255,155.0
77116,6410,71.0
77320,7812,68.0
77524,4115,161.0
77728,5617,94.0
77932,7633,80.0
78136,5319,94.0
78340,8771,68.0
78544,7092,58.0
78748,10752,54.0
78952,6622,64.0
79156,7042,66.0
79360,10309,57.0
79564,11627,50.0
79768,11764,49.0
79972,12048,49.0
80176,7874,54.0
80380,11764,52.0
80584,11363,53.0
80788,11111,53.0
80992,11363,55.0
81196,12195,49.0
81400,12048,51.0
81604,11764,50.0
81808,11904,52.0
82012,12048,51.0
82216,10101,53.0
82420,10752,52.0
82624,11235,55.0
82828,11494,53.0
83032,9615,64.0
83236,9259,69.0
83440,6944,64.0
83644,4310,130.0
83848,9090,65.0
84052,6849,65.0
84256,5917,121.0
84460,6944,88.0
84664,5263,132.0
84868,7042,88.0
85072,4201,160.0
85276,7936,73.0
85480,7751,79.0
85684,9433,62.0
85888,6172,104.0
86092,7874,76.0
86296,3703,207.0
86500,5076,132.0
86704,9523,64.0
86908,9523,64.0
87112,5464,115.0
87316,9009,68.0
87520,7751,53.0
87724,10204,58.0
87928,10309,60.0
88132,9708,64.0
88336,9174,64.0
88540,8474,74.0
88744,7575,85.0
88948,4694,146.0
89152,10638,56.0
89356,8333,69.0
89560,9009,68.0
89764,9090,64.0
89968,9900,60.0
90172,9615,65.0
90376,9345,59.0
90580,6711,99.0
90784,9345,64.0
90988,9615,65.0
91192,5025,149.0
91396,7575,57.0
91600,7352,62.0
91804,9523,63.0
92008,8403,78.0
92212,8130,83.0
92416,7246,56.0
92620,7142,65.0
92824,10752,56.0
93028,10752,55.0
93232,5524,133.0
93436,11235,53.0
93640,10101,60.0
93844,9259,65.0
94048,6896,64.0
94252,9615,62.0
94456,9345,62.0
94660,6172,111.0
94864,7352,87.0
95068,5319,57.0
95272,8196,79.0
95476,6666,94.0
95680,9615,61.0
95884,8474,68.0
96088,10526,58.0
96292,10989,53.0
96496,10204,59.0
96700,9900,63.0
96904,11111,53.0
97108,11111,56.0
97312,7042,62.0
97516,10989,54.0
97720,10869,56.0
97924,10526,55.0
98128,7142,101.0
98332,5025,155.0
98536,8474,71.0
98740,10000,60.0
98944,6024,83.0
99148,8000,83.0
99352,9615,62.0
99556,10416,58.0
99760,4329,171.0
99964,3205,238.0
100168,7633,78.0
100372,5050,139.0
100576,5649,113.0
100780,9090,65.0
100984,6024,76.0
101188,9090,68.0
101392,6289,74.0
101596,7751,73.0
101800,3215,220.0
102004,9090,63.0
102208,7812,83.0
102412,6329,102.0
102616,6802,90.0
102820,8849,64.0
103024,10309,61.0
103228,8196,78.0
103432,5780,84.0
103636,6451,72.0
103840,9009,66.0
104044,9259,67.0
104248,8849,71.0
104452,8333,78.0
104656,6802,100.0
104860,6944,75.0
105064,9433,62.0
105268,10526,56.0
105472,8849,68.0
105676,5847,80.0
105880,8474,67.0
106084,10204,59.0
106288,5714,124.0
106492,8620,73.0
106696,6369,108.0
106900,4273,156.0
107104,6802,93.0
107308,6369,106.0
107512,5555,123.0
107716,9259,65.0
107920,5714,120.0
108124,8000,76.0
108328,6993,62.0
108532,6369,74.0
108736,8928,68.0
108940,8403,72.0
109144,5102,155.0
109348,5586,125.0
109552,10101,59.0
109756,10416,55.0
109960,7407,90.0
110164,9345,67.0
110368,7352,77.0
110572,4651,148.0
110776,7751,76.0
110980,7142,81.0
111184,6711,86.0
111388,8695,69.0
111592,7462,79.0
111796,7812,73.0
112000,7352,76.0
112204,4385,162.0
112408,7462,82.0
112612,6329,71.0
112816,6329,108.0
113020,9259,66.0
113224,7462,77.0
113428,8333,74.0
113632,7633,73.0
113836,6896,83.0
114040,8474,66.0
114244,8695,66.0
114448,9345,67.0
114652,9009,67.0
114856,9708,62.0
115060,7407,60.0
115264,10309,58.0
115468,8064,80.0
115672,9615,62.0
115876,9259,66.0
116080,9345,61.0
116284,7352,80.0
116488,8695,69.0
116692,6993,84.0
116896,8064,75.0
117100,3831,182.0
117304,4566,140.0
117508,7751,80.0
117712,8695,69.0
117916,3921,155.0
118120,9174,64.0
118324,9803,61.0
118528,9523,63.0
118732,11363,53.0
118936,7812,77.0
119140,7407,59.0
119344,9900,63.0
119548,11111,55.0
119752,7407,50.0
119956,6211,86.0
120160,10309,58.0
120364,10989,54.0
120568,7352,96.0
120772,9174,63.0
120976,10416,56.0
121180,7142,97.0
121384,10416,57.0
121588,10309,57.0
121792,9009,60.0
121996,7692,55.0
122200,8928,69.0
122404,11363,52.0
122608,7518,61.0
122812,5747,131.0
123016,8547,75.0
123220,8064,84.0
123424,7142,57.0
123628,6134,111.0
123832,9433,64.0
124036,8474,70.0
124240,9433,62.0
124444,6993,63.0
124648,5649,135.0
124852,9433,63.0
125056,10101,57.0
125260,8620,66.0
125464,8620,66.0
125668,7692,82.0
125872,6535,95.0
126076,7575,73.0
126280,7751,85.0
126484,8000,77.0
126688,8064,76.0
126892,6944,94.0
127096,8196,67.0
127300,9900,59.0
127504,9433,63.0
127708,5405,93.0
127912,9174,66.0
128116,5494,96.0
128320,5847,121.0
128524,10000,57.0
128728,10309,57.0
128932,8000,67.0
129136,6289,99.0
129340,9803,56.0
129544,9900,59.0
129748,9708,65.0
129952,9433,65.0
130156,10638,59.0
130360,9708,64.0
130564,10204,60.0
130768,9708,57.0
130972,8403,79.0
