Block Size,ops_per_sec,micros_per_op
65896,8000,53.0
66100,8849,46.0
66304,12195,50.0
66508,11494,47.0
66712,12500,48.0
66916,8064,53.0
67120,8333,48.0
67324,7936,84.0
67528,8403,75.0
67732,11494,54.0
67936,11235,52.0
68140,7042,98.0
68344,8000,50.0
68548,10989,56.0
68752,6329,124.0
68956,9090,70.0
69160,10416,56.0
69364,10526,60.0
69568,11494,54.0
69772,12500,48.0
69976,12500,48.0
70180,10989,55.0
70384,12048,50.0
70588,10000,60.0
70792,10000,66.0
70996,10752,59.0
71200,10752,60.0
71404,6802,75.0
71608,5917,125.0
71812,11111,56.0
72016,10204,60.0
72220,6622,103.0
72424,10000,60.0
72628,10869,57.0
72832,9090,71.0
73036,10526,56.0
73240,12048,51.0
73444,9009,79.0
73648,12345,49.0
73852,10989,56.0
74056,11494,51.0
74260,11904,52.0
74464,11235,54.0
74668,10989,56.0
74872,11111,53.0
75076,10309,63.0
75280,10416,58.0
75484,9174,72.0
75688,5813,88.0
75892,10309,60.0
76096,10416,58.0
76300,8130,52.0
76504,6711,65.0
76708,10989,51.0
76912,9433,64.0
77116,10526,59.0
77320,10869,52.0
77524,8771,76.0
77728,8474,74.0
77932,10752,57.0
78136,10416,59.0
78340,7692,88.0
78544,7692,54.0
78748,11111,51.0
78952,9259,62.0
79156,11494,52.0
79360,11363,53.0
79564,10752,54.0
79768,10416,51.0
79972,8474,47.0
80176,12195,47.0
80380,7936,57.0
80584,8403,76.0
80788,9259,68.0
80992,8849,72.0
81196,11363,53.0
81400,7936,77.0
81604,11111,54.0
81808,11627,51.0
82012,10752,54.0
82216,11235,55.0
82420,7142,61.0
82624,11904,50.0
82828,11111,53.0
83032,11111,53.0
83236,10989,51.0
83440,10526,58.0
83644,11111,53.0
83848,11494,53.0
84052,8130,50.0
84256,11764,51.0
84460,12048,51.0
84664,11494,54.0
84868,11111,56.0
85072,11363,53.0
85276,10526,60.0
85480,13157,45.0
85684,12195,48.0
85888,11235,56.0
86092,11764,49.0
86296,11111,56.0
86500,12048,50.0
86704,10416,62.0
86908,8928,77.0
87112,11904,51.0
87316,11494,51.0
87520,12048,50.0
87724,10638,60.0
87928,8000,85.0
88132,7299,96.0
88336,11363,52.0
88540,7575,53.0
88744,12500,47.0
88948,11494,51.0
89152,11111,53.0
89356,12345,47.0
89560,11494,51.0
89764,11764,53.0
89968,10204,59.0
90172,6993,97.0
90376,9433,60.0
90580,7575,62.0
90784,11111,57.0
90988,10989,57.0
91192,8064,82.0
91396,9900,62.0
91600,9900,60.0
91804,6369,55.0
92008,10309,61.0
92212,7246,64.0
92416,9090,70.0
92620,4651,100.0
92824,7092,105.0
93028,7633,52.0
93232,10309,55.0
93436,10204,58.0
93640,7246,62.0
93844,10869,53.0
94048,10869,53.0
94252,10309,58.0
94456,9803,60.0
94660,7575,57.0
94864,10638,55.0
