Block Size,ops_per_sec,micros_per_op
59980,2363619,0.422
60184,2418321,0.413
60388,2238939,0.446
60592,2335139,0.428
60796,2278942,0.438
61000,2301125,0.434
61204,2497003,0.4
61408,2303192,0.433
61612,2554931,0.391
61816,2322988,0.43
62020,2700804,0.37
62224,2510922,0.398
62428,2608582,0.383
62632,2304306,0.433
62836,2616431,0.382
63040,2381803,0.419
63244,2273398,0.439
63448,2320993,0.43
63652,2433682,0.41
63856,2406449,0.415
64060,2330459,0.428
64264,2652238,0.376
64468,2292053,0.435
64672,2078569,0.48
64876,1881679,0.531
65080,2203128,0.453
65284,2259887,0.442
65488,2056724,0.485
65692,2421131,0.412
65896,2130923,0.469
66100,1968039,0.507
66304,2271694,0.439
66508,2253013,0.443
66712,2133879,0.468
66916,2378347,0.42
67120,2202740,0.453
67324,2367312,0.422
67528,2237086,0.446
67732,2496691,0.4
67936,2574002,0.388
68140,2146936,0.465
68344,2242806,0.445
68548,2203128,0.453
68752,2186174,0.457
68956,2136660,0.467
69160,1908651,0.523
69364,1955875,0.511
69568,1913692,0.522
69772,1957215,0.51
69976,2107614,0.474
70180,2084549,0.479
70384,2212438,0.451
70588,2233888,0.447
70792,2492398,0.4
70996,2447381,0.408
71200,2324878,0.43
71404,2243057,0.445
71608,2495072,0.4
71812,2250579,0.444
72016,2340878,0.426
72220,2215870,0.451
72424,1734906,0.576
72628,1774874,0.563
72832,1689446,0.591
73036,1734846,0.576
73240,2076110,0.481
73444,2291948,0.436
73648,2182643,0.457
73852,2210970,0.452
74056,2395094,0.417
74260,2459298,0.406
74464,2204391,0.453
74668,2078872,0.48
74872,2280865,0.438
75076,2242353,0.445
75280,2166283,0.461
75484,2246131,0.444
75688,2025685,0.493
75892,1830697,0.546
76096,1916847,0.521
76300,1776293,0.562
76504,1914535,0.521
76708,2067995,0.483
76912,2265518,0.441
77116,2136341,0.467
77320,2283157,0.437
77524,2205898,0.453
77728,2453385,0.407
77932,2249111,0.444
78136,2406912,0.415
78340,2231047,0.448
78544,2616705,0.381
78748,2199252,0.454
78952,2164970,0.462
79156,1994296,0.501
79360,2283313,0.437
79564,1360618,0.734
79768,1949849,0.512
79972,1816695,0.55
80176,2131968,0.468
80380,2289482,0.436
80584,2363004,0.422
80788,2329427,0.429
80992,2355768,0.424
81196,2291003,0.436
81400,2588192,0.386
81604,2514964,0.397
81808,2395668,0.417
82012,2275157,0.439
82216,2210188,0.452
82420,2508151,0.398
82624,1746846,0.572
82828,2027369,0.493
83032,1956066,0.51
83236,1946320,0.513
83440,1994137,0.501
83644,1909016,0.523
83848,1773961,0.563
84052,1997203,0.5
84256,2146060,0.465
84460,2068551,0.483
84664,2451761,0.407
84868,2489110,0.401
85072,2236386,0.446
85276,2346701,0.425
85480,2254588,0.443
85684,2461599,0.406
85888,2564168,0.389
86092,2272417,0.439
86296,2287858,0.436
86500,2057740,0.485
86704,2211019,0.451
86908,1883416,0.53
87112,2043151,0.489
87316,1796428,0.556
87520,1954690,0.511
87724,1948254,0.512
87928,2078008,0.48
88132,2266186,0.441
88336,1753124,0.57
88540,2217786,0.45
88744,2183835,0.457
88948,1994455,0.5
89152,2074258,0.481
89356,2362781,0.423
89560,2176089,0.459
89764,2280553,0.438
89968,2024906,0.493
90172,2122511,0.47
90376,2036037,0.49
90580,1841688,0.542
90784,2107215,0.474
90988,2243611,0.445
91192,2058163,0.485
91396,1772766,0.563
91600,2624465,0.38
91804,2510229,0.398
92008,2368040,0.422
92212,2446363,0.408
92416,2551410,0.391
92620,2648024,0.377
92824,2853067,0.35
93028,2231196,0.447
93232,2402691,0.415
93436,1648261,0.606
93640,1701229,0.587
93844,2528317,0.395
94048,2551996,0.391
94252,2347583,0.425
94456,2672010,0.374
94660,2738825,0.364
94864,2600239,0.384
95068,2368657,0.422
95272,2023103,0.494
95476,2240193,0.446
95680,2068166,0.483
95884,1681293,0.594
96088,1803133,0.554
96292,2024373,0.493
96496,2183167,0.457
96700,1936295,0.516
96904,2191348,0.455
97108,1656204,0.603
97312,2491218,0.401
97516,2506454,0.398
97720,2772771,0.36
97924,1851474,0.539
98128,2594235,0.385
98332,1827017,0.547
98536,2471027,0.404
98740,2050861,0.487
98944,2097359,0.476
99148,1907414,0.524
99352,1896489,0.527
99556,1756172,0.569
99760,1906904,0.524
99964,2333504,0.428
100168,2333177,0.428
