Round,ops_per_sec,micros_per_op,disable_auto_compactions,target_file_size_base,block_size,write_buffer_size,max_write_buffer_number
78,2710879.0,0.369,0.0,33554432.0,8192.0,64.0,8.0
79,2626333.0,0.381,0.0,33554432.0,8192.0,64.0,8.0
80,2661018.0,0.376,0.0,33554432.0,8192.0,64.0,8.0
81,2249637.0,0.444,0.0,33554432.0,8192.0,64.0,8.0
82,2665223.0,0.375,0.0,33554432.0,8192.0,64.0,8.0
83,2504878.0,0.399,0.0,33554432.0,8192.0,64.0,8.0
84,2474781.0,0.404,0.0,33554432.0,8192.0,64.0,8.0
85,2766626.0,0.361,0.0,33554432.0,8192.0,64.0,8.0
86,2475412.0,0.404,0.0,33554432.0,8192.0,64.0,8.0
87,2241303.0,0.446,0.0,33554432.0,8192.0,64.0,8.0
88,2768932.0,0.361,0.0,33554432.0,8192.0,64.0,8.0
89,2537497.0,0.394,0.0,33554432.0,8192.0,64.0,8.0
90,2537562.0,0.394,0.0,33554432.0,8192.0,64.0,8.0
91,2460811.0,0.406,0.0,33554432.0,8192.0,64.0,8.0
92,2234971.0,0.447,0.0,33554432.0,8192.0,64.0,8.0
93,2608541.0,0.383,0.0,33554432.0,8192.0,64.0,8.0
94,2639518.0,0.379,0.0,33554432.0,8192.0,64.0,8.0
95,2566926.0,0.389,0.0,33554432.0,8192.0,64.0,8.0
96,2666801.0,0.375,0.0,33554432.0,8192.0,64.0,8.0
97,2400072.0,0.417,0.0,33554432.0,8192.0,64.0,8.0
98,2281474.0,0.438,0.0,33554432.0,8192.0,64.0,8.0
99,2517350.0,0.397,0.0,33554432.0,8192.0,64.0,8.0
100,2680031.0,0.373,0.0,33554432.0,8192.0,64.0,8.0
101,2798690.0,0.357,0.0,33554432.0,8192.0,64.0,8.0
102,2764875.0,0.362,0.0,33554432.0,8192.0,64.0,8.0
103,2860109.0,0.35,0.0,33554432.0,8192.0,64.0,8.0
104,2406744.0,0.415,0.0,33554432.0,8192.0,64.0,8.0
105,2429513.0,0.412,0.0,33554432.0,8192.0,64.0,8.0
106,2575626.0,0.388,0.0,33554432.0,8192.0,64.0,8.0
107,2145264.0,0.466,0.0,33554432.0,8192.0,64.0,8.0
108,2533595.0,0.395,0.0,33554432.0,8192.0,64.0,8.0
109,2122101.0,0.471,0.0,33554432.0,8192.0,64.0,8.0
110,2370286.0,0.422,0.0,33554432.0,8192.0,64.0,8.0
111,2389195.0,0.418,0.0,33554432.0,8192.0,64.0,8.0
112,2578349.0,0.388,0.0,33554432.0,8192.0,64.0,8.0
113,2422551.0,0.413,0.0,33554432.0,8192.0,64.0,8.0
114,2499262.0,0.4,0.0,33554432.0,8192.0,64.0,8.0
115,2412411.0,0.414,0.0,33554432.0,8192.0,64.0,8.0
116,2478953.0,0.403,0.0,33554432.0,8192.0,64.0,8.0
117,2358790.0,0.424,0.0,33554432.0,8192.0,64.0,8.0
118,2632777.0,0.38,0.0,33554432.0,8192.0,64.0,8.0
119,2557649.0,0.391,0.0,33554432.0,8192.0,64.0,8.0
120,2533255.0,0.395,0.0,33554432.0,8192.0,64.0,8.0
121,2157115.0,0.464,0.0,33554432.0,8192.0,64.0,8.0
122,2100068.0,0.476,0.0,33554432.0,8192.0,64.0,8.0
123,2213211.0,0.452,0.0,33554432.0,8192.0,64.0,8.0
124,2596391.0,0.385,0.0,33554432.0,8192.0,64.0,8.0
125,2669478.0,0.375,0.0,33554432.0,8192.0,64.0,8.0
126,2463576.0,0.406,0.0,33554432.0,8192.0,64.0,8.0
127,2900316.0,0.345,0.0,33554432.0,8192.0,64.0,8.0
128,2277250.0,0.439,0.0,33554432.0,8192.0,64.0,8.0
129,2371421.0,0.422,0.0,33554432.0,8192.0,64.0,8.0
130,2137345.0,0.468,0.0,33554432.0,8192.0,64.0,8.0
131,2326869.0,0.43,0.0,33554432.0,8192.0,64.0,8.0
132,2425777.0,0.412,0.0,33554432.0,8192.0,64.0,8.0
133,2695679.0,0.371,0.0,33554432.0,8192.0,64.0,8.0
134,2272685.0,0.44,0.0,33554432.0,8192.0,64.0,8.0
135,2300098.0,0.435,0.0,33554432.0,8192.0,64.0,8.0
136,2440262.0,0.41,0.0,33554432.0,8192.0,64.0,8.0
137,2636838.0,0.379,0.0,33554432.0,8192.0,64.0,8.0
138,2347621.0,0.426,0.0,33554432.0,8192.0,64.0,8.0
139,2252130.0,0.444,0.0,33554432.0,8192.0,64.0,8.0
140,2643824.0,0.378,0.0,33554432.0,8192.0,64.0,8.0
141,2300924.0,0.435,0.0,33554432.0,8192.0,64.0,8.0
142,2379462.0,0.42,0.0,33554432.0,8192.0,64.0,8.0
143,2794607.0,0.358,0.0,33554432.0,8192.0,64.0,8.0
144,2313026.0,0.432,0.0,33554432.0,8192.0,64.0,8.0
145,2641093.0,0.379,0.0,33554432.0,8192.0,64.0,8.0
146,2844035.0,0.352,0.0,33554432.0,8192.0,64.0,8.0
147,2272092.0,0.44,0.0,33554432.0,8192.0,64.0,8.0
148,2490442.0,0.401,0.0,33554432.0,8192.0,64.0,8.0
149,2638397.0,0.379,0.0,33554432.0,8192.0,64.0,8.0
150,2317384.0,0.431,0.0,33554432.0,8192.0,64.0,2.0
151,2637756.0,0.379,0.0,33554432.0,8192.0,64.0,2.0
152,2649511.0,0.377,0.0,33554432.0,8192.0,64.0,8.0
153,2416877.0,0.414,0.0,33554432.0,8192.0,64.0,8.0
154,2807695.0,0.356,0.0,33554432.0,8192.0,64.0,8.0
155,2441948.0,0.409,0.0,33554432.0,8192.0,64.0,8.0
156,2257152.0,0.443,0.0,33554432.0,8192.0,64.0,8.0
157,2765425.0,0.362,0.0,33554432.0,8192.0,64.0,8.0
158,2229619.0,0.448,0.0,33554432.0,8192.0,64.0,8.0
159,2293099.0,0.436,0.0,33554432.0,8192.0,64.0,8.0
160,2306395.0,0.433,0.0,33554432.0,8192.0,64.0,8.0
161,2546414.0,0.393,0.0,33554432.0,8192.0,64.0,8.0
162,2512032.0,0.398,0.0,33554432.0,8192.0,64.0,8.0
163,2346575.0,0.426,0.0,33554432.0,8192.0,64.0,8.0
164,2676372.0,0.374,0.0,33554432.0,8192.0,64.0,8.0
165,2612691.0,0.383,0.0,33554432.0,8192.0,64.0,8.0
166,2157855.0,0.463,0.0,33554432.0,8192.0,64.0,8.0
167,2654272.0,0.377,0.0,33554432.0,8192.0,64.0,8.0
168,2268792.0,0.441,0.0,33554432.0,8192.0,64.0,8.0
169,2482640.0,0.403,0.0,33554432.0,8192.0,64.0,8.0
170,2492230.0,0.401,0.0,33554432.0,8192.0,64.0,8.0
171,2279103.0,0.439,0.0,33554432.0,8192.0,64.0,8.0
172,2189103.0,0.457,0.0,33554432.0,8192.0,64.0,8.0
173,2198652.0,0.455,0.0,33554432.0,8192.0,64.0,8.0
174,2592318.0,0.386,0.0,33554432.0,8192.0,64.0,8.0
175,2535612.0,0.394,0.0,33554432.0,8192.0,64.0,8.0
176,2660699.0,0.376,0.0,33554432.0,8192.0,64.0,8.0
177,2763209.0,0.362,0.0,33554432.0,8192.0,64.0,8.0
178,2569623.0,0.389,0.0,33554432.0,8192.0,64.0,8.0
179,2427337.0,0.412,0.0,33554432.0,8192.0,64.0,8.0
180,2515134.0,0.398,0.0,33554432.0,8192.0,64.0,8.0
181,2172996.0,0.46,0.0,33554432.0,8192.0,64.0,8.0
182,2251750.0,0.444,0.0,33554432.0,8192.0,64.0,8.0
183,2420779.0,0.413,0.0,33554432.0,8192.0,64.0,8.0
184,2517559.0,0.397,0.0,33554432.0,8192.0,64.0,8.0
185,2491876.0,0.401,0.0,33554432.0,8192.0,64.0,8.0
186,2317217.0,0.431,0.0,33554432.0,8192.0,64.0,8.0
187,2498669.0,0.4,0.0,33554432.0,8192.0,64.0,8.0
188,2248090.0,0.445,0.0,33554432.0,8192.0,64.0,8.0
189,2194869.0,0.456,0.0,33554432.0,8192.0,64.0,8.0
190,2533242.0,0.395,0.0,33554432.0,8192.0,64.0,8.0
191,2520726.0,0.397,0.0,33554432.0,8192.0,64.0,8.0
192,2499868.0,0.4,0.0,33554432.0,8192.0,64.0,8.0
193,2628390.0,0.38,0.0,33554432.0,8192.0,64.0,8.0
194,2481432.0,0.403,0.0,33554432.0,8192.0,64.0,8.0
195,2358234.0,0.424,0.0,33554432.0,8192.0,64.0,8.0
196,2322928.0,0.43,0.0,33554432.0,8192.0,64.0,8.0
197,2331399.0,0.429,0.0,33554432.0,8192.0,64.0,8.0
198,2666723.0,0.375,0.0,33554432.0,8192.0,64.0,8.0
199,2130469.0,0.469,0.0,33554432.0,8192.0,64.0,8.0
